,Purchaser Name
149,BALAJI REAL ESTATE VENTURES PVT LT 
150,BALRAMPUR CHINI MILLS LTD 
151,BALU CEMENT CORPORATION 
152,BALU IRON & STEEL COMPANY 
153,BALU IRON AND STEEL COMPANY 
154,BANGUR SHREE 
155,BANSAL BUSINESS PRIVATE LIMITED 
156,BANSAL UDYOG PRIVATE 
157,BANSHIDHAR VYAPAAR PVT LTD 
158,BAPPADITYA ROY 
159,BAPUNA ALCOBREW PRIVATE LIMITED 
160,BASANT GAJANAND LAKHOTIYA 
161,BASUDEV AGARWAL 
162,BELLWEY INTERNATIONAL CO 
163,BENGAL COKE COMPANY LIMITED 
164,BENGAL VIPANAPAN PRIVATE LIMITED 
165,BESSEGGEN INFOTECH LLP 
166,BESSEGGENINFOTECHLLP 
167,BEST AGROLIFE LIMITED 
168,BG SHIRKE CONSTRUCTION TECHNOLOGY PVT LTD 
169,BHACHIBEN KHAMUBHAI MANVAR 
170,BHAGYANAGAR INFRA PROJECTS 
171,BHAGYASREE REALTORS PRIVATE LIMITED 
172,BHARAT AJMERA 
173,BHARAT BIOTECH INTERNATIONAL LIMITED 
174,BHARTI AIRTEL LIMITED 
175,BHARTI AIRTEL LIMITEDAIRTEL CURRE NT AC-GCO 
176,BHARTI INFRATEL LIMITED 
177,BHARTI TELEMEDIA LIMITED 
178,BHASWINI DEVELOPERS 
179,BHAWNA AGARWAL 
180,BHAWNA KASAT 
181,BHUDUTT JANGID 
182,BIGC MOBILES PVT LTD 
183,BIJAY RATAN BAHETY 
184,BIMALA PRASANNA SINGH ROY 
185,BINOD KUMAR AGARWAL 
186,BINOD KUMAR MAROTI 
187,BIOLOGICAL E LIMITED 
188,BIOVET PVT LTD 
189,BIOXGREEN TECHNOLOGY PRIVATE LIMITE 
190,BIRD WORLDWIDE FLIGHT SERVICES INDI 
191,BIRLACARBONINDIAPRIVATELIMITED 
192,BIRLAESTATESPRIVATELIMITED 
193,BISHAN M AGARWAL 
194,BISHOPS WEED FOOD CRAFTS PRIVATE LI 
195,BKC PROPERTIES PVT LTD 
196,BLUEBERRY TRADING COMPANY PRIVATE L 
197,BLUESTONE COMMODITIES LLP 
198,BM DEALERS LLP 
199,BMW INFOTECH PRIVATE LIMITED 
200,BMW INFRASTRUCTURE LLP 
201,BORAVELLI BHUPAL REDDY 
202,BORAVELLI RAMULAMMA 
203,BOSE CONSTRUCTIONS 
204,BRICKS INFRATECH LLP 
205,BRIGHT STAR INVESTMENTS PVT.LTD 
206,BRIJESH BINANI 
207,BRINDABAN NASKAR 
208,BSCPL INFRASTRUCTURE LIMITED 
209,BUILDOX DEVELOPERS LLP 
210,BUTTA HOSPITALITIES PVT LTD 
211,BYRAPANENI SHIVARJUN RAO 
212,C MACKERTICH PVT LTD 
213,C R ASSOCIATES 
214,CAMELIA GRIHA NIRMAN PRIVATE LIMITED 
215,CANDY SPIRITS PVT LTD 
216,CAPACITE INFRAPROJECTS LTD 
217,CAPE TRADING LLP 
218,CAPSTAN TRADING LLP 
219,CASA MARIA PROPERTIES LLP 
220,CASTAMET WORKS 
221,CASTAMET WORKS PRIVATE LIMITED 
