,Purchaser Name
633,MANISH AGARWAL 
634,MANISH KUMAR KHAKHOLIA 
635,MANITHEJ ENTERPRISES 
636,MANJIT KAUR 
637,MANJU SHREE SOMANI 
638,MANKIND PHARMA LIMITED 
639,MANKIND TRACOM PRIVATE LIMITED 
640,MANOJ KUMAR AGARWAL 
641,MANOTOSH DAS 
642,MANU VYAPAR (P) LTD. 
643,MANVAR DEVABHAI 
644,MANVAR SAVABHAI 
645,MARAL OVERSEAS LTD. 
646,MARDI GRAS LIQUOR DIV OF MARDI GRAS 
647,MARUTI SUZUKI INDIA LTD 
648,MB POWER (MADHYA PRADESH) LTD 
649,MEENU CREATION LLP 
650,MEGA EQUITAS PRIVATE LIMITED 
651,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED 
652,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED 
653,MEGHA ENGINEERING AND INFRASTRUCTURES LTD 
654,MEHERFOUNDATIONSANDCIVILENGPVT 
655,MERLIN RECREATION PVT LTD 
656,MICHIGAN ENGINEERS PVT LTD 
657,MICRO LABS LIMITED 
658,MICRO LABS LTD 
659,MIDAS PROJECTS PRIVATE LIMITED 
660,MINDA KYORAKU LTD 
661,MINDARIKA PRIVATE LTD 
662,MIRANIA BUILDERS LLP 
663,MIRANIA COMPLEX LLP 
664,MISRILALL MINES PVT LTD 
665,MKJ ENTERPRISES LIMITED 
666,MKJ ENTERPRISES LTD 
667,MKK METAL SECTIONS P LTD 
668,MKK METAL SECTIONS PVT LTD 
669,MNMEDIAVENTURESPVTL108 
670,MODERN ROAD MAKERS PVT LTD 
671,MODERN ROAD MAKERS PVT. LTD. 
672,MOHAN STEEL CORPORATION 
673,MOHINDER KUMAR JAIN 
674,MOHIT MINERALS LIMITED 
675,MOHIT MINERALS LTD 
676,MONALISA BOTTLING INDUSTRIES PVT LTD 
677,MONIKA 
678,MOTOWN TRADING PVT LTD 
679,MOUNT EVEREST BREWERIES LIMITED 
680,MR ANUJ GOENKA 
681,MR GIRIDARAN MANIVANNAN 
682,MR KONARK RAJENDRA SHAH 
683,MR RAJ DEEPAK VARSHNEY 
684,MR SACHIN BAKLIWAL 
685,MR SAURABH BAKLIWAL 
686,MR. ABHIJEET SOLOMAN KAMBLE 
687,MR. BAL KISHAN GOENKA 
688,MR. BISWAJIT GHOSH 
689,MR. DEEPAK KHEMKA 
690,MR. ISHANT GUPTA 
691,MR. KAUKUNTLA VENU GOPAL 
692,MR. MAYANK SINGHAL 
693,MR. NISHANT K YADAV 
694,MR. SAMEER BHATIA 
695,MR. VIJAY KUMAR GOYAL 
696,MRPANKAJKUMARGUPTA 
697,MRS LILA DEVI SULTANIA 
698,MRS. SUSHILA GOENKA 
699,MS PEARL GLOBAL INDUSTRIES LTD FORM 
700,MS S N MOHANTY 
701,MS. SHIPRA GOENKA 
702,MSN LABORATORIES PVT LTD 
703,MSN ORGANICS PVT LTD 
704,MSN PHARMACHEM PVT LTD 
705,MSPL LTD 
706,MTC ISPAT PVT LTD 
707,MUKESH AJMERA 
708,MUKUND BINANI 
709,MUPPANA VENKATA RAO 
710,MUTHOOT FINANCE LTD 
711,MVM SECURITIES PVT LTD-SELF A/C 
712,MY HOME INFRASTRUCTURES PRIVATE LI 
713,MY HOME INFRASTRUCTURES PVT LTD MY 
714,MYRIAD DEVELOPERS 
715,MYTRAH ENERGY INDIA PRIVATE LIMITED 
716,MYTRAH ENERGY(INDIA) PRIVATE LIMITED 
717,N A R INFRA PRIVATE LIMITED 
718,N RAMAMOORTHY 
719,NAHAR BUILDERS AND DEVELOPERS LTD 
720,NAMIT PURI 
721,NANDED CITY DEVELOPMENT AND CONSTRU 
722,NANDI ENTERPRISES 
723,NANGALIA ASSOCIATES 
724,NARA CONSTRUCTIONS 
725,NARAYAN PODDAR 
726,NARBHERAM VISHRAM 
727,NARESH HIRALAL BHANSALI 
728,NATCO PHARMA LIMITED 
729,NATCO PHARMA LTD 
730,NATRAJ GOODS PRIVATE LIMITED 
731,NATURAL RESIDENCY LLP 
732,NAVAL KISHORE AGARWAL 
733,NAVARUN SEN 
734,NAVAYUGA ENGINEERING CO LTD 
735,NAVAYUGA ENGINEERING COMPANY LIMITED 
736,NCC LIMITED 
737,NEERAJ GANDHI 
738,NEHA BAHETY 
739,NETINCON MARKETING PVT LTD 
740,NEXG DEVICES PVT LTD 
741,NIDHI SOMANI 
742,NIKHIL SUNIL MUNDHRA 
743,NIMBHA BIOTECH PRIVATE LIMITED 
744,NIRANJAN LAL AND SONS HUF 
745,NIRAV MAROTI 
746,NIRMA LIMITED 
747,NIRMAL KUMAR BATHWAL 
748,NIRMALDEEP RESOURCES LTD 
749,NISHANT SARAFF 
750,NITESH KUMAR GUPTA 
751,NITIN BANSAL 
752,NLB SERVICES PRIVATE LIMITED 
753,NORTH EAST INFRA NET WORK 
754,NORTHERN SPIRITS LTD 
755,NSL RENEWABLE POWER PRIVATE LIMITED 
756,NSL SEZ HYDERABAD PRIVATE LIMITED 
757,NSL SEZ(HYDERABAD) PRIVATE LIMITED 
758,NUVOCO VISTAS CORP. LTD 
759,NUVOCO VISTAS CORPORATION LTD 
760,NVNR POWER INFRA PRIVATE LIMITED 
761,NVSUBBA RAO 
762,OCEAN SPARKLE LTD 
763,OM CREDIT PVT LTD 
764,OM ENCLAVE PVT LTD 
765,OM METALS DEVELOPERS (P) LTD. 
766,OM VINCOM PVT LTD 
767,OMKAR REALTORS PROJECTS PVT LTD 
768,OMKAR VENTURES PVT LTD 
769,ORIENT FASHION EXP (I) PVT LTD 
770,ORIENTAL SOUTH DELHI HOTELS PVT LTD 
771,ORISSA METALIKS PVT LIMITED 
772,ORRISA METALIKS PVT LTD 
773,OSTRO JAISALMER PRIVATE LIMITED 
774,OSTRO MADHYA WIND PRIVATE LIMITED 
775,P SHIVA SHANKAR REDDY 
776,P TEJAVARDHAN REDDY 
777,PACIFICA DEVELOPERS P LTD REFLECTIO 
778,PACIFICA INDIA PROJECTS PVT LTD 
779,PALM SHELTER ESTATE DEVELOPMENT LL 
780,PALM SHELTER ESTATE DEVELOPMENT LLP 
781,PANACEA BIOTEC PHARMA LTD PHARMACEU 
782,PANKAJ PERIWAL 
783,PAPPI REDDY KISHORE KUMAR REDDY 
784,PARAMJIT SINGH S O JAGJIT SINGH 
785,PARESH AJMERA 
786,PARESH CHAMPAKLAL SHAH 
787,PARIBARTAN ELECTORAL TRUST 
788,PARIKSHIT SOMANI 
789,PASURA AGRI SCIENCES LLP 
790,PASURA CROP CARE PVT LTD 
791,PATEL ENGINEERING LTD. 
792,PATEL HIGHWAY MANAGEMENT PVT LTD 
793,PAVANKUMAR REDDY KUNDURU 
794,PAWAN AGARWAL 
795,PAYEL AGARWAL 
796,PCBL LIMITED 
797,PEDDIREDDY RAMANJANEYA REDDY 
798,PEGASUS PROPERTIES PVT LTD 
799,PENGUIN TRADING & AGENCIES LIMITED 
800,PENGUIN TRADING AND AGENCIES LTD 
801,PENNAR RENEWABLES PVT LTD( NEW ERA 
802,PERFECT INVESTMENT CONSULTANCY PRIV 
803,PHILIPS CARBON BLACK LTD 
804,PHILLIPS CARBON BLACK LIMITED 
805,PHL FINIVEST PVT LTD 
806,PIRAMAL CAPITAL AND HOUSING FINANCE LTD 
807,PIRAMAL ENTERPRISES LIMITED 
808,PIRAMAL ENTERPRISES LTD 
809,PIRAMAL PHARMA LIMITED 
810,PLUTO FINANCE PRIVATE LTD 
811,PLUTO FINANCE PRIVATE LTD. 
812,POLINA GANESWARARAO 
813,PONUGOTI HEMENDAR RAO 
814,POONAM AGARWAL 
815,POORVI DUGAR AJMERA 
816,PPR M SAND LLP 
817,PRABHAKAR RAO ASHA PRIYA PROPERTIES 
818,PRABHAKARA RAO MANDAVA 
819,PRABHAT HOMES PRIVATE LIMITED 
820,PRADEEP AGGARWAL 
821,PRADIP KUMAR DAS 
822,PRAGATI ENTERPRISES 
823,PRAHLAD SHARMA 
824,PRAKASH BALWANT MENGANE 
825,PRAKASH DISTILLERY & CHEMICAL CO (P) LT D 
826,PRAMOD BAJORIA 
827,PRARAMBH SECURITIES PVT LTDOWN A/C 
828,PRARAMBH SECURITIES PVT LTDPROPRIET 
829,PRASAD AND COMPANY PRIVATE LIMITED 
830,PRASHANT KUMAR JAISWAL 
831,PRATHMESH CONSTRUCTION 
832,PRATIBHA AGARWAL 
833,PRATIKSHA DOSHI 
834,PRATYASH RENEWABLE PRIVATE LIMITED 
835,PRAVEEN BAHETY 
836,PRB SECURITIES PVT LTD 
837,PREETI BINANI 
838,PREETI MAROTI 
839,PREM AGGARWAL 
840,PREM AGGARWAL AND SONS HUF 
841,PREM RATAN BAHETY 
842,PREMCHAND GODHA 
843,PREMIER PHOTOVOLTAIC MEDAK (P)LTD 
844,PREMIER PLASTIC INDUSTRIES 
845,PRESTIGE ESTATES PROJECTS LTD PREST 
846,PRESTIGE GARDEN ESTATES PRIVATE LIM 
847,PRESTIGE HABITAT VENTURES 
848,PRESTIGE NOTTING HILL INVESTMENTS 
849,PRESTIGE PROJECTS PVT LTD 
850,PRESTIGE PROPERTY MANAGEMENT AND SE 
851,PRESTIGE SOUTHCITY HOLDINGS 
852,PRIME SALES CORPORATION 
853,PRIMUSGLOBALTECHNOLOGIESPVTLTD 
854,PRL DEVELOPERS PRIVATE LIMITED 
855,PROCURE ADVISORY SERVICES PRIVATE L 
856,PROCURE ADVISORY SERVICES PRIVATE LTD 
857,PRUDHVI CONSTRUCTIONS PRIVATE LIMIT 
858,PUJA COAL PRIVATE LIMITED 
859,PUNIT DEVENDRABHAI BHANDERI 
860,PURI CONSTRUCTION PVT LTD 
861,PURSHOTTAM LAL GUPTA 
862,PURULIA BOTTLING PVT LTD 
863,PUSHKARA COMMOSALES PRIVATE LIMITED 
864,PVR LTD 
865,QUALITY MAINTENANCE VENTURE LTD 
866,QWIKSUPPLYCHAINPRIVATELIMITED 
867,R B DEALERS PVT LTD 
868,R K INFRACORP PRIVATE LIMITED 
869,R K V FABTECH INDIA PRIVATE LIMITED 
870,R N CONSTRUCTIONS 
871,R R INFRATECH INDIA PRIVATE LIM 
872,R R KABEL LIMITED 
873,R SURYA NARAYNARAJU 
874,R V SUBRAHAMANYAM ISTAMSETTY 
875,R.S.BROTHERS RETAIL INDIA PRIVATE LIMITE D 
876,R.S.BROTHERS RETIAL INDIA PVT LTD 
877,RACHIT KAILASH MUNDHRA 
878,RADICO KHAITAN LIMITED 
879,RAGHAV COTSPIN PRIVATE LIMITED 
880,RAGHUKOOL ESTATE DEVELOPMENT LLP 
881,RAHUL AGARWAL 
882,RAHUL BHATIA 
883,RAHUL BHUWANIA 
884,RAHUL CHOUDHARY 
885,RAHUL GUPTA 
886,RAHUL JAGANNATH JOSHI 
887,RAHUL TULSIAN 
888,RAIPUR BOTLING COMPANY 
889,RAJ KAMAL DRUGS 
890,RAJAPUSHPA ASSET MANAGEMENT LLP 
891,RAJAPUSHPA PROPERTIES PVT LTD 
892,RAJDHANI DEALERS PRIVATE LIMITED 
893,RAJEEV KUMAR JAIN 
894,RAJEEV KUMAR SHARMA 
895,RAJENDRA AGARWAL 
896,RAJESH JAIN 
897,RAJESH KUMAR AGARWAL 
898,RAJESH M AGRAWAL 
899,RAJESH MANNALAL AGRAWAL 
900,RAJESH SHARMA 
901,RAJIV KUMAR JHA 
902,RAJIV S SOMANI 
903,RAJU KUMAR SHARMA 
904,RAKESH KUMAR SHARMA 
905,RAKESH PRAVINCHANDRA SHAH 
906,RAMAN SHARMA 
907,RAMAWATAR SHARMA 
908,RAMESH AGARWAL C S BOTTLING PL 
909,RAMESH AGARWAL C S BOTTLING PLANT 
910,RAMESH KRISHNA ENGINEERS PRIVATE LIMITED 
911,RAMESH TAPARIA 
912,RAMGAD MINERALS AND MINING LTD 
913,RAMKRISHNA COTSPIN PVT LTD 
914,RAMOLI DEALERS PVT LTD 
915,RANISATI MERCANTILES PVT LTD 
916,RANISATI MERCANTILES PVT. LTD. 
917,RANJIT BUILDCON LIMITED 
918,RANJIT PROJECTS PRIVATE LIMITED 
919,RANJIT TOLL ROAD PRIVATE LIMITED 
920,RASHMI CEMENT LTD 
921,RASHMI METALIKS LTD 
922,RATHOD LAKHIBEN 
923,RATNAMANI METALS AND TUBES LTD 
924,RAUNAK GUPTA 
925,RAUNAK PROPERTIES PVT. LTD 
926,RAVENDER RAO GORUKANTI 
927,RAVI KUMAR SHARMA 
928,RAVINDER AGARWAL 
929,RAVINDRANATHA REDDY BANDI 
930,RAVLON PROPERTIES PVT LTD. 
931,RAY CONSTRUCTIONS LTD 
932,RAYALA SEEMA WIND ENERGY PVT LTD 
933,RCC NUTRA FILL PRIVATE LIMITED 
934,REAL TECHNICAL SOLUTIONS PVT LTD 
935,REENA GARG 
936,REGENT ELECTRO MECH PRIVATE LIMITED 
937,RENUKA INVESTMENTS AND FINANCE LTD 
938,RENUKESHWAR INVESTMENTS PVT LTD 
939,REPALLY ASHOK 
940,RICHA & CO 
941,RICHA GLOBAL EXPORTS PRIVATE LIMITED 
942,RIGHT AID CONSULTANTS PVT LTD 
943,RIPLEY & CO STEVDORING & HANDLING PVT LT D 
944,RIPLEY AND CO. STEVEDORING & HANDLING PVT LTD 
945,RISHABH KHEMKA / ISHWAR CHAND KHEMK 
946,RISHABH PATNI 
947,RITESH AGARWAL 
948,RITESH ENCLAVE PVT LTD 
949,RITESH NIRMAN PVT LTD 
950,RITESH PROJECTS PVT LTD 
951,RITESH REAL ESTATES PVT LTD 
952,RITESH VANIJYA PRIVATE LIMITED 
953,RITHWIK PROJECTS PRIVATE LIMITED 
954,RMC SWITCHGEARS LTD 
955,ROHIT AGARWAL 
956,RONAK AJMERA 
957,ROOPREKHA VYAPAAR PRIVATE LIMITED 
958,ROSHINI DEVELOPERS PRIVATE LTD 
959,ROSHNI DEALMARK PRIVATE LIMITED 
960,ROSHNI DEALMARK PRIVATE LTD 
961,RPSG VENTURES LIMITED 
962,RSLH AUTO SEAT TRIMS PVT LTD 
963,RT RENEWABLE ENERGY PVT LTD 
964,RUMA GHATAK 
965,RUNGTA SONS P LTD 
966,RUPA H SHAH 
967,S D CORPORATION PVT LTD 
968,S E BUILDERS AND REALTORS LTD 
969,S G AGARWAL & CO 
970,S K SUPPLY CHAIN SOLUTIONS 
971,S K TRADERS 
972,S K TRADING CO. 
973,S R C CHEMICALS PVT LTD 
974,S.P. SINGLA CONSTRUCTIONS PRIVATE LTD. 
975,S.S.EARTHMOVERS AND LOGISTICS 
976,SAFAL GOYAL REALTY LLP 
977,SAGAR CEMENTS LIMITED 
978,SAGI VENKATA RAMAKRISHNA RAJU 
979,SAGUN TULSYAN 
980,SALASAR FINANCIAL ADVISORY SERVICES 
981,SALASAR SAREES PVT LTD 
982,SALASAR STOCK BROKING LTD-PROPRIETARY 
983,SAMMAN LAL SHER SINGH PAPERS PVT LT 
984,SAN BEVERAGES PVT LTD 
985,SAN LOGISTICS 
986,SANDEEP AGGARWAL 
987,SANDEEP AGGARWAL AND SONS HUF 
988,SANDEEP AUTO LINES 
989,SANDEEP JHUNJHUNWALA 
990,SANDEEP KHANNA AND ASSOCIATES 
991,SANDEEP KUMAR SULTANIA (JT1) 
992,SANDHYA CONSTRUCTIONS & ESTATES PRIVATE LIMITED 
993,SANGIREDDY THIRUPATHI REDDY 
994,SANJAY AGARWAL 
995,SANJAY JAIN 
996,SANJAY JHUNJHUNWALA 
997,SANJAY KUMAR 
998,SANJAY KUMAR SINHA 
999,SANJIB CHAKRABORTY 
1000,SANOLA WIND PROJECT PVT LTD 
1001,SANTOSH GOYAL 
1002,SANVI SPINNING MILLS PVT LTD 
1003,SARD INDIA PRIVATE L 
1004,SARDA ENERGY AND MINERALS LTD 
1005,SARITA HANDA EXPORTS PVT LTD 
1006,SARITA MIRANIA AGARWAL 
1007,SAROJA RENEWABLES PRIVATE LIMITED 
1008,SAROJIT KUMAR DEY 
1009,SAROSH ALIZAH MINING 
1010,SASMAL INFRASTRUCTURE PRIVATE LIMITED 
1011,SATEC ENVIR ENGINEERING (I) PVT LTD 
1012,SATISHCHANDRA SHANTILAL DOSHI HUF 
1013,SAURABH GUPTA 
1014,SAURABH JAIN 
1015,SCAFFOLD PROPERTIES PVT LTD 
1016,SDS LOGISTICS PRIVATE LIMITED 
1017,SECURE METERS LTD 
1018,SEEMA MIRANIA AGARWAL 
1019,SEI ARUSHI PVT LTD 
1020,SEI BASKARA POWER PVT LTD 
1021,SEI DIAMOND PVT LTD 
1022,SEI ENERSTAR RENEWABLE ENRGY PVT LTD 
1023,SEI MIHIR ENERGY PVT LTD 
1024,SEI VENUS PVT LTD 
1025,SELENE CONSTRUCTIONS LIMITED 
1026,SELMAR LAB PRIVATE LIMITED 
1027,SELMAR LAB PRIVATE LTD 
1028,SENGUPTA AND SENGUPTA PRIVATE LIMIT 
1029,SENGUPTA AND SENGUPTA PVT LTD 
1030,SEPC POWER PVT LTD OPERATION RETEN 
1031,SERVEALL LAND DEVELOPERS PVT LTD 
1032,SEZ BIOTECH SERVICES PVT LTD 
1033,SHADOWFAX TRADERS 
1034,SHAHAB RIZVI 
1035,SHAHIEXP 
1036,SHANKARANARAYANA CONSTRUCTIONS PVT 
1037,SHANKARRESOURCESPVTLTD 
1038,SHAURYAVIR CARRIERS PRIVATE LIMITED 
1039,SHINE COTSPIN PVT LTD 
1040,SHIRDI SAI ELECTRICALS LTD 
1041,SHIRISH BAJAJ 
1042,SHIV SHANKAR SECURITIES PVT LTD 
1043,SHIVALIK PRINTS LIMITED 
1044,SHIVAM TRANSCON PRIVATE LIMITED 
1045,SHREE CEMENT LIMITED 
1046,SHREE CEMENT LTD 
1047,SHREE CHAND SARAOGI 
1048,SHREE RATAN BAHETY 
1049,SHREE SALASAR PROPERTIES & FINANCE PVT LTD 
1050,SHREYAS RENEWABLE ENERGY PRIVATE LTD 
1051,SHREYAS RENEWABLE ENERGY PVT LTD 
1052,SHRI JAGANNATH STEELS & POWER LTD 
1053,SHRI SHAMLAJI SALES PRIVATE LIMITED 
1054,SHRINIVAS VASUDEVA DEMPO 
1055,SHYAM STEEL MANUFACTURING LTD. (FLY SOVA ISPAT LTD.) 
1056,SHYAM SUNDAR BAHETY 
1057,SI AIR SPRINGS PRIVATE LTD 
1058,SIAN INFRA AND REALCON LLP 
1059,SIDDHARTH DEVELOPERS 
1060,SIDDHARTH MATHUR 
1061,SIDDHI TRADING 
1062,SIDHANT INVESTMENT ADVISORY PRIVATE 
1063,SIDHARTH AGARWAL 
1064,SIGMA ADVANCED SYSTEMS PRIVATE LIMI 
1065,SILVER LINE INVESTMENT COMPANY 
1066,SILVERTONE SECURITIES PRIVATE LIMIT 
1067,SILVERTONE SECURITIES PVT LTD 
1068,SILVERTOSS SECURITIES PVT LTD 
1069,SITARA DIAMOND PRIVATE LIMITED 
1070,SK INFRA 
1071,SKEIRON RENEWABLE ENERGY AMIDYALA P 
1072,SKEIRON RENEWABLE ENERGY AMIDYALA PRIVATE LIMITED 
1073,SKP MERCHANTS LLP 
1074,SKYWORLD DEVELOPERS LLP 
1075,SLICK SOFTWARE SOLUTIONS PRIVATE LI 
1076,SLRV HOMES LLP 
1077,SMR AUTOMOTIVE SYSTEMS INDIA LTD 
1078,SMRITI AGRAWAL 
1079,SNB MINERALS PRIVATE LIMITED 
1080,SNEHA KINETIC POWER PROJECTS PVT LTD 
1081,SNS CLOTHING PVT LTD 
1082,SOHAN SARAF 
1083,SOHINI DEVELOPERS LLP 
1084,SOM DISTILERIES PRIVATE LTD 
1085,SOM DISTILLERIES BREWERIES LIMITED 
1086,SOM DISTILLERIES PVT LTD 
1087,SOMASILA SOLAR POWER LIMITED 
1088,SOPANRAO BALKRISHNA DHASAL AGRO PRODUCTS LIMITED 
1089,SOURABH KUMAR ROY 
1090,SOUTH ASIA FM LIMITED 
1091,SPECO INFRASTRUCTURE 
1092,SPECO INFRASTRUCTURES 
1093,SPEED BUSINESS PVT LTD 
1094,SPICEJET LIMITED 
1095,SPML OM METALS JV 
1096,SPPL PROPERTY MANAGEMENT PVT LTD 
1097,SR DEVELOPERS 
1098,SRABANI ROY 
1099,SREE KRUTHI 
1100,SREE RAYALASEEMA HI STRENGTH HYPO LTD 
1101,SREENATH FINVEST PRIVATE LIMITED 
1102,SRI CHAITANYA STUDENTS FACILITY MANAGEME 
1103,SRI DEVELOPERS 
1104,SRI KARTHIKEYA DEVELOPERS 
1105,SRI KRISHNA INFRAASTRUCTURES 
1106,SRI KUMARASWAMY MINERAL EXPORTS PR 
1107,SRI SAI BIO ORGANICS( OPR BY R V SUBRAHM ANYAM I) 
1108,SRI SIDDARTHA CONSTRUCTIONS 
1109,SRI SIDDHARTH INFRATECH & SERVICES(I) PVT LTD 
1110,SRI SIDDHARTH INFRATECH AND SERVICES I P 
1111,SRI VIGNEWARA CONSTRUCTIONS 
1112,SRI YANTRA ASSOCIATES 
1113,SRICHAITANYA STUDENTS FACILITY MANAGEMENT PVT LTD 
1114,SRINIVASH BINANI 
1115,SRIVAY INDUSTRIES LIMITED 
1116,SRIVILAS HYDROTECH PVT LTD 
1117,SSALASAR FINANCIAL ADVISORY SERVICE PVT LTD 
1118,ST PATRICKS REALTY PVT LTD 
1119,STAR CEMENT MEGHALAYA LIMITED 
1120,STOCKPATHADVISORSLLP 
1121,SUBHASH CHANDRA GUPTA 
1122,SUDHA COMMERCIAL COMPANY LTD 
1123,SUDHAKAR KANCHARLA 
1124,SUDSAR BUILDSPACE LLP 
1125,SUKHBIR SINGH 
1126,SUKRITI GUPTA BAHETY 
1127,SULA VINEYARDS PVT LTD 
1128,SUMAN AGARWAL 
1129,SUMAN ESTATES PRIVATE LIMITED 
1130,SUMITRA DEVI AGARWAL 
1131,SUN DISTRIBUTION SERVICES PVT LTD 
1132,SUN OILNATURAL GAS DIV SUN PETRO P. 
1133,SUN PHARMA LABORATORIES LIMTED 
1134,SUN PHARMA LABORATORIES LTD 
1135,SUNBORNE ENERGY ANDHRA PVT LTD 
1136,SUNDARAM INDUSTRIES PVT LIMITED 
1137,SUNDEEP JHUNJHUNWALA 
1138,SUNDRAM INDUSTRIES PVT LTD 
1139,SUNIL ENGINEERING AND SYSTEMS 
1140,SUNKURU SURESH SUBUDHI JT 
1141,SUNSHINE FINTRADE PVT LTD 
1142,SUPER CYBERTECH PARK PRIVATE LIMITE 
1143,SURBHI AGARWAL 
1144,SURENDRA STEELS PRIVATE LIMITED 
1145,SURESH PATNI 
1146,SUSHIL KUMAR KOTHARI 
1147,SUSHILA PATNI 
1148,SUSTAINABLE SPINNING AND COMMODITIES PVT LTD 
1149,SUVARCHAS SOLAR POWER PRIVATE LIMITED 
1150,SWAL CORPORATION LIMITED 
1151,SWAMI FUELS PRIVATE LIMITED 
1152,SWAPNA CHENNAVARAM 
1153,SWARNAPUSHPA VANIJYA PRIVATE LIMITE 
1154,SWARNARETH MINERAL INDUSTRIES 
1155,SWETA ESTATES PVT LTD 
1156,SYLVANUS BUILDERS AND DEVELOPERS LI 
1157,SYLVANUS PROPERTIES LIMITED 
1158,SYNERGY DEALCOM PVT LTD-SELF A/C 
1159,T SIRISH BABU 
1160,TADAS WIND ENERGY PVT LTD 
1161,TALENTO TECHNICAL PLANT SERVICES PVT LTD 
1162,TANOT WIND POWER VENTURES PVT LTD 
1163,TANUSHREE LOGISTICS PRIVATE LIMITED 
1164,TANUSHREE SOMANI 
1165,TAQUITO LEASE OPERATORS PVT. LTD 
1166,TARGET VINCOM PVT LTD 
1167,TARLA RAJENDRA SHAH 
1168,TAVINDER SINGH KOHLI 
1169,TECH MAHINDRA LTD 
1170,TEGA INDUSTRIES LIMI 
1171,TEJAS P SHAH 
1172,TEKREANT INDIA PRIVATE LIMITED 
1173,TELLAPUR TECHNOCITY PRIVATE LIMI 
1174,TERACON BUILDTECH LLP 
1175,TEXPORT CREATION 
1176,THAKUR PRASAD SAO & SONS PVT LT 
1177,THE ANGUS COMPANY LIMITED 
1178,THE ANUP ENGINEERING 
1179,THE ASSOCIATED AUTO PARTS PRIVATE LIMITED 
1180,THE GANGES MANUFACTURING CO LTD 
1181,THE INDIA CEMENTS LTD 
1182,THE PUNJAB BUSINESS SUPPLY COMPANY 
1183,THE RAMCO CEMENTS LIMITED 
1184,THE SANDUR MANGANESE &AMP;AMP; IRON ORES LI 
1185,THE SUPREME INDUSTRIES LTD 
1186,THRIVENI EARTH MOVERS PVT LTD 
1187,THRIVENI EARTHMOVERS PVT LTD 
1188,THRIVENI SAINIK MINING PRIVATE LIMI 
1189,TILAK AJMERA 
1190,TIVOLI PARK APARTMENTS PVT LTD 
1191,TOPNOTCH PROJECTS PRIVATE LIMITED 
1192,TORRENT PHARMACEUTICALS LIMITED 
1193,TORRENT PHARMACEUTICALS LTD 
1194,TORRENT POWER LIMITED 
1195,TORRENT POWER LTD 
1196,TPK PARTNERS 
1197,TRANSWAYS EXIM PRIVATE LIMITED 
1198,TRANSWAYS EXIM PRIVATE LTD 
1199,TRANSWAYS EXIM PVT LTD 
1200,TRIBHUVAN SPINTEX PRIVATE LIMITED 
1201,TRIDENT LIMITED 
1202,TRIDENT LIMITED {FORMERLY ABHISHEK INDUS TRIES LIMITED} 
1203,TRIDENTCHEMPHARLIMITED 
1204,TRIREME INFRASTRUCTURRE PVT LTD 
1205,TSHARKS INFRA DEVELOPERS PRIVATE LI 
1206,TSHARKS OVERSEAS EDUCATION CONSULTA 
1207,TULIP RESIDENCY LLP 
1208,TVS MOBILITY PRIVATE LIMITED 
1209,TVS MOTOR COMPANY LIMITED 
1210,ULTRA TECH CEMENT LIMITED 
1211,ULTRATECHCEMENTSLTD 
1212,UM CABLES LIMITED 
1213,UNILIGHT REINSURANCE BROKERS PVT LTD 
1214,UNIPRO TECHNO INFRASTRUCTURE PVT LTD 
1215,UNITED PHOSPHORUS INDIA LLP 
1216,UNNIKRISHNAN K 
1217,UPL LIMITED 
1218,URMILA DEVI TAPARIA 
1219,USHA AGGARWAL 
1220,USV PRIVATE LTD ( FORMERLY USV LTD) 
1221,UTKAL ALUMINA INTERNATIONAL LIMITED 
1222,UTKAL ALUMINA INTERNATIONAL LTD 
1223,UTKARSH JAIN 
1224,UTKARSH SFATIK LIMITED 
1225,UTSAV ENCLAVE LLP 
1226,UTTAM KUMAR GHOSH 
1227,V BALAVEERIAH SONS 
1228,V M SALGAOCAR BROTHER PVT LTD 
1229,V M SALGAOCAR CORPORATION PVT LTD 
1230,VACMETINDIALIMITED 
1231,VAIBHAV BHUTANI 
1232,VAIBHAV LAXMI CAPITAL MARKET PRIVATE LIM 
1233,VAIBHAW TIE UP PRIVATE LIMITED 
1234,VALLURUPALLI PRABHU KISHORE 
1235,VAMONA DEVELOPERS PRIVATE LIMITED 
1236,VAMSIRAM BUILDERS LLP 
1237,VAMSIRAM DEVELOPERS LLP 
1238,VAMSIRAMS JYOTHI LORVEN 
1239,VARAS INTERNATIONAL PRIVATE LIMITED 
1240,VARAS INTERNATIONAL PVT LTD 
1241,VARDHMAN TEXTILES LIMITED 
1242,VARDHMAN TEXTILES LTD 
1243,VARSITY EDUCATION MANAGEMENT PVT LIMITED 
1244,VASAVI AVENUES LLP 
1245,VASSUDEVA DEMPO FAMILY PRIVATE TRUST 
1246,VASUDHA DEVELOPERS 
1247,VEDANTA ELECTRICALS PRIVATE LIMITED 
1248,VEDANTA LIMITED 
1249,VEDANTA LTD 
1250,VEDIKA VANIJYA PVT LTD-SELF A/C 
1251,VEERA RAVEENDRA 
1252,VEERABHADRAPPA SANGAPPA AND CO 
1253,VENKAT PRANEETH DEVELOPRS (P) LTD 
1254,VENKATESH NARAYAN REDDY 
1255,VENUS FINANCIAL CONSULTANTS PVT LTD 
1256,VERTEX VEGA DEVELOPERS LLP 
